"","id","X","MAXAvg","MINAvg","RainAvg","Date","Time","RunDate","Metabolites.Conc","RankProp","Sex","Group.1","Coping","SWDIgr","Strg","Deg"
"35","by",35,31.7,14.4,0,"2018-09-21","07:56:00","17-Nov",157.4982481,-1.020620726,"M","S",-0.216352814,0.420304731567068,3.49693737987671,2
"36","by",36,27.9,12.65,0,"2018-11-28","08:20:00","15-Nov",124.0577386,-1.020620726,"M","S",-0.216352814,0.420304731567068,3.49693737987671,2
"37","by",37,35.55,10.2,0,"2019-03-26","08:15:00","11-Nov",105.2550415,-1.020620726,"M","S",-0.216352814,0.420304731567068,3.49693737987671,2
"38","by",38,30.45,9.8,0,"2019-01-23","07:54:00","1-Oct",75.69430569,-1.020620726,"M","S",-0.216352814,0.420304731567068,3.49693737987671,2
"39","bz",39,27.6,12.85,0,"2018-11-27","08:40:00","22-Nov",78.43881856,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"40","bz",40,32.35,10.45,0,"2019-03-17","09:01:00","11-Nov",281.3068182,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"41","bz",41,31.7,14.4,0,"2018-09-21","09:30:00","18-Nov",141.8435754,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"42","bz",42,30.6,15.8,1.5,"2018-09-07","08:51:00","16-Nov",203.9348591,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"43","bz",43,32.25,16.3,0,"2018-10-02","08:30:00","18-Nov",72.80551592,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"44","bz",44,31.7,15.85,0,"2019-04-06","11:51:00","12-Nov",182.9258324,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"45","bz",45,31.9,11.1,0,"2019-02-21","07:47:00","8-Nov",144.2076714,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"46","bz",46,27.85,12.1,0,"2018-11-26","07:59:00","22-Nov",38.24087024,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"47","bz",47,28.1,11.87,0,"2018-08-19","07:59:00","18-Nov",147.6569407,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"48","bz",48,29.9,12.7,0,"2019-01-11","07:38:00","5-Dec",73.84368095,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"49","bz",49,28.7,9.3,0,"2019-01-04","09:54:00","5-Dec",68.43876629,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"50","bz",50,30.7,10.25,0,"2019-02-16","08:24:00","8-Nov",182.9659694,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"51","bz",51,28.25,14.45,0,"2019-02-28","07:38:00","9-Nov",168.4892086,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"52","bz",52,29.85,13.4,8.5,"2018-11-06","10:07:00","21-Nov",161.8544437,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"53","bz",53,29.7,8.4,0,"2019-01-29","11:19:00","8-Oct",290.0044504,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"54","bz",54,29.55,10.4,0,"2019-01-25","07:58:00","1-Oct",146.2059564,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
